Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Jun-23,2248,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص 7 قبل الصرف,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,11247894.37,4119
1-Jun-23,2250,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص الختامى بعد الصرف,17ع. اكتوبر,17ع. اكتوبر,المقاولات,106199.34,4006
1-Jun-23,2251,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,العاصمه الادرايه,العاصمه الادرايه,المقاولات,2092957.21,4058
1-Jun-23,2252,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,ستون بارك,ستون بارك,المقاولات,16996033.31,4118
1-Jun-23,2253,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,14390954.21,4101
1-Jun-23,2254,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,ستون بارك - فيلات,ستون بارك - فيلات,المقاولات,8121176.50,4152
1-Jun-23,2255,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,22485371.80,4121
1-Jun-23,2256,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى المعادى,كوبرى المعادى,المقاولات,5069174.48,4167
1-Jun-23,2839,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,معالجة فواصل كبارى محور 26 يوليو,معالجة فواصل كبارى محور 26 يوليو,المقاولات,1907241.83,4165
1-Jun-23,2881,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مصنع المصرية الألمانية لصناعة المكرونة,مصنع المصرية الألمانية لصناعة المكرونة,المقاولات,3679692.91,4129
